Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 15, 2017, 4:35:07 PM",Kudos,Activity,1084653616
"Jul 15, 2017, 4:35:09 PM",Kudos,Activity,1084562574
"Aug 23, 2017, 2:12:48 PM",Kudos,Activity,1145592355
"Nov 19, 2017, 11:42:27 PM",Kudos,Activity,1280434289
"Nov 24, 2017, 12:04:18 AM",Kudos,Activity,1285919465
"Dec 17, 2017, 5:32:16 PM",Kudos,Activity,1316408631
"Jul 16, 2018, 11:58:52 PM",Kudos,Activity,1704711065
"Jul 30, 2018, 12:33:22 AM",Kudos,Activity,1736406104
"Sep 3, 2019, 8:29:48 PM",Kudos,Activity,2676351694
"Sep 6, 2019, 1:13:05 AM",Kudos,Activity,2683518837
"Sep 6, 2019, 1:13:16 AM",Kudos,Activity,2683408127
"Sep 6, 2019, 1:13:18 AM",Kudos,Activity,2683467038
"Sep 6, 2019, 1:13:48 AM",Kudos,Activity,2683458778
"Sep 6, 2019, 1:13:52 AM",Kudos,Activity,2680876789
"Sep 6, 2019, 1:13:54 AM",Kudos,Activity,2679148500
"Sep 15, 2019, 6:38:13 PM",Kudos,Activity,2711608016
"Sep 16, 2019, 12:38:30 AM",Kudos,Activity,2712141249
"Sep 16, 2019, 12:38:51 AM",Kudos,Activity,2711587826
"Sep 21, 2019, 5:59:27 PM",Kudos,Activity,2727911192
"Nov 28, 2019, 2:13:45 AM",Kudos,Activity,2895948067
"Jan 11, 2020, 5:37:42 PM",Kudos,Activity,3002115694
"Jan 11, 2020, 6:54:02 PM",Kudos,Activity,3002380868
"Oct 4, 2020, 1:20:46 AM",Kudos,Activity,4147129221
"Oct 5, 2020, 10:46:56 PM",Kudos,Post,12028403
"Jul 13, 2021, 2:25:00 PM",Kudos,Activity,5620874522
"Jul 13, 2021, 2:33:01 PM",Kudos,Activity,5620879842
"Jul 25, 2021, 12:19:58 AM",Kudos,Activity,5678197733
"Jul 31, 2021, 5:04:02 PM",Kudos,Activity,5716853123
"Aug 30, 2021, 9:32:40 PM",Kudos,Activity,5878679027
"Sep 5, 2021, 10:57:45 AM",Kudos,Activity,5909026729
"Sep 5, 2021, 12:24:43 PM",Kudos,Activity,5909627196
"Apr 25, 2022, 6:55:13 PM",Kudos,Activity,7040051664
"Apr 25, 2022, 6:55:14 PM",Kudos,Activity,7040051005
"Apr 25, 2022, 6:55:15 PM",Kudos,Activity,7040045213
"Apr 27, 2022, 3:35:53 PM",Kudos,Activity,7049640481
"Apr 27, 2022, 7:23:22 PM",Kudos,Activity,7050794600
"Apr 27, 2022, 7:23:25 PM",Kudos,Activity,7050852523
"Apr 28, 2022, 2:49:47 PM",Kudos,Activity,7050794862
"Apr 28, 2022, 2:49:57 PM",Kudos,Activity,7050792960
"Apr 28, 2022, 2:50:09 PM",Kudos,Activity,7054201602
"Apr 28, 2022, 2:50:11 PM",Kudos,Activity,7054464943
"Apr 28, 2022, 2:50:14 PM",Kudos,Activity,7054323452
"Apr 28, 2022, 2:51:10 PM",Kudos,Activity,7053918360
"Apr 30, 2022, 5:05:56 PM",Kudos,Activity,7065276660
"Apr 30, 2022, 5:06:01 PM",Kudos,Activity,7065878067
"Apr 30, 2022, 5:06:23 PM",Kudos,Activity,7065586284
"Apr 30, 2022, 5:06:29 PM",Kudos,Activity,7065595616
"Apr 30, 2022, 5:07:41 PM",Kudos,Activity,7063619922
"Apr 30, 2022, 5:08:00 PM",Kudos,Activity,7059893551
"May 2, 2022, 3:22:19 PM",Kudos,Activity,7075854029
"Jun 1, 2022, 6:41:21 PM",Kudos,Activity,7238798626
"Jun 19, 2022, 10:13:37 AM",Kudos,Activity,7329838860
"Jul 4, 2022, 10:59:59 AM",Kudos,Activity,7411339441
"Jul 10, 2022, 7:47:45 PM",Kudos,Activity,7446022024
"Jul 18, 2022, 9:57:19 PM",Kudos,Activity,7489806813
"Sep 21, 2022, 6:47:56 PM",Kudos,Activity,7845553815
"Sep 23, 2022, 3:42:02 PM",Kudos,Activity,7849626895
"Jun 18, 2023, 3:49:32 PM",Kudos,Activity,9289979189
"Jul 2, 2023, 3:19:27 AM",Kudos,Activity,9370647358
"Jul 7, 2023, 12:45:43 AM",Kudos,Activity,9402864830
"Jul 7, 2023, 1:17:54 AM",Kudos,Activity,9402607952
"Jun 11, 2024, 7:49:51 PM",Kudos,Activity,11629801202
"Jun 12, 2024, 12:06:53 AM",Kudos,Activity,11630953289
"Jun 12, 2024, 12:06:54 AM",Kudos,Activity,11630751793
"Jun 12, 2024, 12:06:56 AM",Kudos,Activity,11630762552
"Jun 12, 2024, 12:06:57 AM",Kudos,Activity,11630756058
