Goal Type,Activity Type,Goal,Start Date,End Date,Segment ID,Time Period,Interval Time
Distance Goal,All Run,88513.92,"Sep 16, 2020, 5:06:17 PM",,,Week
Distance Goal,Run,88513.0,"Oct 9, 2015, 6:53:56 PM","Sep 16, 2020, 5:06:17 PM",,Week
Count,Ride,2.0,"Jul 27, 2024, 4:18:46 PM",,,Week
Power Goal,Ride,300,"Jul 7, 2024, 12:00:00 AM","Dec 31, 2024, 12:00:00 AM",,,3600
