Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,123429350,"","Nov 21, 2024, 2:08:10 PM"
Bad GPS data,Activity,167370913,"","Nov 22, 2024, 5:08:28 AM"
